        Time / ns                E-Field (Z; 160 0 0) [1]/real
               2.4263176                     -0.15066619
               2.4428232                      -0.3971692
               2.4593287                     -0.56655264
               2.4758343                     -0.63697117
               2.4923398                     -0.60423575
               2.5088454                     -0.48097451
                2.525351                     -0.29308854
               2.5418565                    -0.074371568
               2.5583621                      0.13961051
               2.5748676                      0.31728528
               2.5913732                      0.43557941
               2.6078788                      0.48257263
               2.6243843                       0.4580934
               2.6408899                      0.37242313
               2.6573955                      0.24355911
                2.673901                     0.093660007
               2.6904066                    -0.054654572
               2.7069121                      -0.1815677
               2.7234177                     -0.27246731
               2.7399233                     -0.31926577
               2.7564288                     -0.32062821
               2.7729344                     -0.28125833
                 2.78944                     -0.21049943
               2.8059455                     -0.12056096
               2.8224511                    -0.024654519
               2.8389566                     0.064722768
               2.8554622                      0.13718304
               2.8719678                      0.18543395
               2.8884733                      0.20581572
               2.9049789                      0.19838673
               2.9214844                       0.1666065
                 2.93799                      0.11667242
               2.9544956                     0.056582115
               2.9710011                   -0.0049674998
               2.9875067                    -0.059725432
               3.0040123                       -0.100944
               3.0205178                     -0.12420845
               3.0370234                     -0.12792618
               3.0535289                     -0.11340014
               3.0700345                    -0.084471994
               3.0865401                    -0.046795185
               3.1030456                    -0.006852717
               3.1195512                     0.029113199
               3.1360568                     0.056073326
               3.1525623                     0.070927583
               3.1690679                     0.072847833
               3.1855734                     0.063203215
                3.202079                     0.045112129
               3.2185846                     0.022723497
               3.2350901                   0.00037975093
               3.2515957                    -0.018169598
               3.2681012                    -0.030365184
               3.2846068                    -0.035147529
               3.3011124                    -0.032948616
               3.3176179                    -0.025407233
               3.3341235                    -0.014890001
               3.3506291                   -0.0039345945
               3.3671346                    0.0052602064
               3.3836402                      0.01120725
               3.4001457                     0.013311704
               3.4166513                     0.011848272
               3.4331569                    0.0077715442
               3.4496624                    0.0024215589
                3.466168                   -0.0028003978
               3.4826735                   -0.0067161325
               3.4991791                   -0.0085673749
               3.5156847                   -0.0080997267
               3.5321902                   -0.0055391217
